football_data_Date,football_data_Time,football_data_HomeTeam,football_data_AwayTeam,football_data_FTHG,football_data_FTAG,football_data_FTR,football_data_HTHG,football_data_HTAG,football_data_HTR,football_data_Referee,football_data_HS,football_data_AS,football_data_HST,football_data_AST,football_data_HF,football_data_AF,football_data_HC,football_data_AC,football_data_HY,football_data_AY,football_data_HR,football_data_AR,football_data_B365H,football_data_B365D,football_data_B365A,football_data_BWH,football_data_BWD,football_data_BWA,football_data_tournament_season
2023-12-03,15:00,Rangers,St Mirren,2.0,0.0,H,1.0,0.0,H,M MacDermid,21.0,4.0,6.0,3.0,9.0,8.0,8.0,5.0,1.0,3.0,0.0,0.0,1.22,6.0,15.0,1.22,6.25,12.0,23/24
2023-12-05,19:45,Ross County,Motherwell,3.0,0.0,H,2.0,0.0,H,D Dickinson,13.0,14.0,6.0,4.0,14.0,9.0,6.0,3.0,1.0,2.0,1.0,0.0,2.25,3.2,3.5,2.25,3.1,3.2,23/24
2023-12-06,19:45,Aberdeen,Kilmarnock,0.0,1.0,A,0.0,0.0,D,M MacDermid,18.0,8.0,3.0,2.0,11.0,21.0,4.0,5.0,3.0,1.0,0.0,0.0,2.3,3.3,3.2,2.3,3.3,2.95,23/24
2023-12-06,19:45,Celtic,Hibernian,4.0,1.0,H,2.0,0.0,H,J Beaton,26.0,6.0,12.0,3.0,10.0,8.0,11.0,4.0,2.0,2.0,0.0,0.0,1.2,7.0,12.0,1.21,6.75,11.5,23/24
2023-12-06,19:45,St Johnstone,St Mirren,1.0,0.0,H,0.0,0.0,D,K Clancy,11.0,13.0,5.0,5.0,9.0,10.0,0.0,7.0,2.0,1.0,0.0,0.0,3.0,3.2,2.45,2.9,3.1,2.45,23/24
2023-12-06,20:00,Hearts,Rangers,0.0,1.0,A,0.0,1.0,A,W Collum,12.0,22.0,5.0,5.0,13.0,11.0,6.0,5.0,3.0,1.0,0.0,0.0,6.0,4.33,1.53,5.75,4.33,1.51,23/24
2023-12-09,15:00,Aberdeen,Hearts,2.0,1.0,H,0.0,1.0,A,C Graham,14.0,5.0,6.0,3.0,13.0,20.0,3.0,8.0,3.0,7.0,0.0,0.0,2.6,3.5,2.63,2.65,3.3,2.55,23/24
2023-12-09,15:00,Livingston,Hibernian,0.0,1.0,A,0.0,1.0,A,G Irvine,14.0,4.0,3.0,2.0,11.0,13.0,6.0,0.0,3.0,1.0,0.0,0.0,3.6,3.3,2.1,3.3,3.3,2.1,23/24
2023-12-09,15:00,Motherwell,St Johnstone,1.0,1.0,D,0.0,0.0,D,E Anderson,17.0,11.0,8.0,2.0,11.0,11.0,3.0,2.0,0.0,0.0,0.0,0.0,2.15,3.3,3.5,2.1,3.25,3.4,23/24
2023-12-09,15:00,Rangers,Dundee,3.0,1.0,H,3.0,1.0,H,K Clancy,20.0,9.0,9.0,3.0,12.0,9.0,5.0,7.0,1.0,3.0,1.0,0.0,1.17,7.0,19.0,1.16,7.75,15.5,23/24
2023-12-09,15:00,St Mirren,Ross County,2.0,0.0,H,0.0,0.0,D,C Scott,15.0,9.0,6.0,2.0,9.0,12.0,10.0,4.0,2.0,0.0,0.0,0.0,2.15,3.3,3.5,2.2,3.1,3.4,23/24
2023-12-10,12:00,Kilmarnock,Celtic,2.0,1.0,H,0.0,1.0,A,D Munro,13.0,16.0,6.0,7.0,14.0,12.0,5.0,9.0,3.0,1.0,0.0,0.0,6.5,6.0,1.36,7.5,5.0,1.36,23/24
2023-12-16,15:00,Celtic,Hearts,0.0,2.0,A,0.0,2.0,A,K Clancy,22.0,5.0,5.0,2.0,12.0,3.0,18.0,3.0,1.0,0.0,0.0,0.0,1.25,6.5,10.0,1.24,6.25,10.5,23/24
2023-12-16,15:00,Livingston,Kilmarnock,0.0,0.0,D,0.0,0.0,D,W Collum,8.0,11.0,1.0,3.0,17.0,11.0,0.0,8.0,2.0,1.0,0.0,0.0,3.4,3.3,2.2,3.3,3.2,2.15,23/24
2023-12-16,15:00,Ross County,Dundee,0.0,1.0,A,0.0,0.0,D,C Steven,10.0,17.0,3.0,3.0,10.0,10.0,2.0,9.0,1.0,2.0,0.0,0.0,2.3,3.3,3.1,2.2,3.3,3.2,23/24
2023-12-16,15:00,St Johnstone,Hibernian,1.0,0.0,H,0.0,0.0,D,G Grainger,14.0,3.0,7.0,0.0,10.0,8.0,5.0,5.0,2.0,3.0,0.0,0.0,3.5,3.3,2.15,3.3,3.3,2.15,23/24
